"p","q10","q50","q90","mean_test"
0.437625,1.52672502875921,2.31128270338793,0.101567723873933,1.62388768231603
0.441783333333333,1.48811327395049,2.33017777958045,0.107668586388091,1.64378432833101
0.445941666666667,1.44973823755309,2.34787366840545,0.114062640370159,1.66327270132961
0.4501,1.41163001730992,2.36434843964459,0.120760037359587,1.68233386574459
0.454258333333333,1.37381743696899,2.37958166260325,0.127771098803864,1.7009491285977
0.458416666666667,1.33632804878069,2.39355443468091,0.13510631085641,1.71910006399703
0.462575,1.29918813765415,2.40624940776045,0.142776318706204,1.73676853739835
0.466733333333333,1.26242272690753,2.41765081239009,0.150791920424511,1.7539367296057
0.470891666666667,1.22605558554837,2.42774447973431,0.159164060313892,1.77058716048628
0.47505,1.19010923702041,2.4365178612719,0.16790382174449,1.78670271237567
0.479208333333333,1.15460496935479,2.44396004622219,0.177022419462371,1.80226665314937
0.483366666666667,1.11956284666411,2.45006177668208,0.186531191354556,1.81726265893738
0.487525,1.08500172191881,2.45481546045936,0.196441589655145,1.83167483645881
0.491683333333333,1.05093925094638,2.45821518158969,0.20676517157677,1.84548774495386
0.495841666666667,1.0173919075945,2.4602567085271,0.217513589351418,1.8586864176911
0.5,0.984375000000544,2.4609375,0.228698579664484,1.87125638302823
0.504158333333333,0.951902687910393,2.4602567085271,0.2403319524657,1.88318368500495
0.508316666666667,0.919988000990638,2.45821518158969,0.252425579140431,1.89445490344713
0.512475,0.888642858079141,2.45481546045936,0.264991380024616,1.90505717356151
0.516633333333333,0.857878087319738,2.45006177668208,0.278041311246443,1.91497820500112
0.520791666666667,0.827703447127879,2.44396004622219,0.291587350877676,1.92420630038141
0.52495,0.79812764793482,2.4365178612719,0.305641484377337,1.93273037322805
0.529108333333333,0.769158374658984,2.42774447973431,0.320215689310285,1.94053996533731
0.533266666666667,0.740802309853913,2.41765081239009,0.335321919323018,1.94762526353071
0.537425,0.713065157483233,2.40624940776045,0.350972087358846,1.95397711578577
0.541583333333333,0.685951667273915,2.39355443468091,0.367178048094411,1.95958704672523
0.545741666666667,0.659465659600004,2.37958166260325,0.383951579579303,1.96444727244754
0.5499,0.633610050849979,2.36434843964459,0.401304364060362,1.96855071468172
0.554058333333333,0.608386879231703,2.34787366840545,0.419247967972062,1.97189101425026
0.558216666666667,0.583797330969928,2.33017777958045,0.437793821074171,1.97446254382397
0.562375,0.559841766852168,2.31128270338793,0.456953194717705,1.97626041995315
0.566533333333333,0.536519749079696,2.29121183884667,0.476737179219995,1.97728051436011
0.570691666666667,0.513830068381301,2.26999002093058,0.497156660329508,1.97751946447791
0.57485,0.491770771348373,2.24764348563416,0.518222294760855,1.97697468322132
0.579008333333333,0.470339187950782,2.22419983298398,0.539944484780265,1.97564436797576
0.583166666666667,0.449531959193927,2.19968798803363,0.562333351821552,1.97352750879082
0.587325,0.429345064878235,2.17413815988184,0.585398709112496,1.97062389576525
0.591483333333333,0.409773851423297,2.14758179875597,0.609150033291302,1.96693412561052
0.595641666666667,0.390813059719773,2.12005155120485,0.633596434992624,1.96245960738092
0.5998,0.37245685297302,2.09158121344781,0.658746628382496,1.95720256735796
0.603958333333333,0.354698844503419,2.06220568292858,0.684608899621259,1.95116605307793
0.608116666666667,0.337532125469184,2.03196090812515,0.711191074233434,1.94435393649122
0.612275,0.320949292478408,2.00088383666904,0.738500483363271,1.93677091624301
0.616433333333333,0.304942475057986,1.96901236182955,0.76654392889453,1.92842251906479
0.620591666666667,0.289503362947961,1.93638526742096,0.79532764741286,1.91931510026718
