"p","bern","bb","ln","km"
0.14523745819398,0.00351152452007143,0.278901915988809,0.302631233461338,0.299633736790787
0.14856856187291,0.00430926813018714,0.289503793534485,0.314572179344025,0.30967533321666
0.151899665551839,0.00525695404070296,0.300229060299617,0.326584290898784,0.319809780529813
0.155230769230769,0.00637664941568915,0.311074274627974,0.338661508342226,0.33003499916203
0.158561872909699,0.00769266452579163,0.322036030821793,0.350798065860085,0.340348934719244
0.161892976588629,0.00923164361655758,0.333110957699528,0.362988477202358,0.350749555773804
0.165224080267559,0.0110226427082672,0.344295717244029,0.375227521893968,0.361234851819751
0.168555183946488,0.0130971922739618,0.355587003333684,0.387510232052793,0.371802831376169
0.171886287625418,0.0154893427810988,0.366981540549815,0.399831879802906,0.38245152022533
0.175217391304348,0.0182356911495311,0.378476083054285,0.412187965267819,0.393178959773801
0.178548494983278,0.0213753862743777,0.390067413531869,0.424574205126318,0.403983205525902
0.181879598662207,0.0249501118865126,0.401752342192446,0.436986521711908,0.414862325660026
0.185210702341137,0.0290040451751187,0.413527705828564,0.449421032635861,0.425814399699281
0.188541806020067,0.0335837897749122,0.425390366924285,0.461874040913247,0.436837517268784
0.191872909698997,0.0387382819237308,0.437337212811655,0.474342025571035,0.447929776932675
0.195204013377926,0.0445186688223437,0.449365154871419,0.486821632717363,0.459089285104596
0.198535117056856,0.0509781584753699,0.461471127774903,0.499309667051216,0.470314155025976
0.201866220735786,0.058171840557595,0.473652088764274,0.511803083792166,0.481602505806974
0.205197324414716,0.066156478130957,0.485905016968595,0.524298981010204,0.492952461525435
0.208528428093645,0.0749902703310522,0.498226912753321,0.536794592336359,0.504362150379593
0.211859531772575,0.0847325864449428,0.510614797101071,0.54928728003531,0.515829703890677
0.215190635451505,0.0954436721110172,0.523065711021686,0.561774528421963,0.527353256151868
0.218521739130435,0.107184328683147,0.535576714989733,0.574253937604572,0.538930943120407
0.221852842809365,0.12001556711191,0.548144888407768,0.586723217537767,0.55056090194988
0.225183946488294,0.133998238001606,0.560767329093794,0.59918018236951,0.562241270359994
0.228515050167224,0.149192639799686,0.573441152791468,0.611622745066749,0.573970186041349
0.231846153846154,0.165658107361547,0.586163492701719,0.624048912305224,0.585745786092931
0.235177257525084,0.183452583405084,0.598931499034544,0.636456779609569,0.597566206490233
0.238508361204013,0.202632175622665,0.61174233857981,0.648844526730535,0.609429581582059
0.241839464882943,0.223250702450379,0.624593194296026,0.6612104132468,0.621334043614245
0.245170568561873,0.245359230702553,0.637481264916062,0.673552774379459,0.633277722278637
0.248501672240803,0.269005608461239,0.650403764568903,0.685870017007906,0.645258744285817
0.251832775919732,0.294233996763183,0.663357922416573,0.698160615876364,0.657275232960168
0.255163879598662,0.321084403748964,0.676340982305423,0.710423109980928,0.669325307855974
0.258494983277592,0.349592225028554,0.689350202431036,0.722656099127468,0.681407084393348
0.261826086956522,0.379787794073634,0.702382855016041,0.734858240651255,0.693518673512867
0.265157190635452,0.411695946468154,0.715436226000182,0.747028246289686,0.70565818134788
0.268488294314381,0.445335601834716,0.72850761474203,0.759164879199888,0.71782370891352
0.271819397993311,0.480719367204866,0.741594333731753,0.771266951113458,0.730013351811509
0.275150501672241,0.517853165516547,0.754693708314417,0.783333319620994,0.742225199949938
0.278481605351171,0.556735892802357,0.767803076423296,0.795362885579443,0.754457337277227
0.2818127090301,0.59735910747865,0.780919788322723,0.807354590635708,0.766707841529549
0.28514381270903,0.639706754959118,0.794041206360039,0.819307414860235,0.778974783991023
0.28847491638796,0.683754930598986,0.807164704726201,0.831220374484722,0.791256229266061
0.29180602006689,0.729471683728952,0.820287669224671,0.84309251973831,0.803550235063264
0.295137123745819,0.776816865263802,0.833407497048202,0.85492293277698,0.815854851990311
0.298468227424749,0.825742021071725,0.846521596563172,0.866710725701139,0.828168123359342
0.301799331103679,0.87619033296894,0.85962738710113,0.878455038656616,0.84048808500232
0.305130434782609,0.928096608863884,0.872722298757244,0.890155038014582,0.852812765095943
0.308461538461538,0.981387323218148,0.885803772195356,0.901809914626105,0.865140183995669
0.311792642140468,1.03598070862138,0.898869258459352,0.913418882147295,0.877468354078457
0.315123745819398,1.0917868988974,0.911916218790599,0.924981175431181,0.889795279593841
0.318454849498328,1.14870812377233,0.924942124451187,0.936496048982698,0.902118956523005
0.321785953177258,1.20663895474612,0.937944456552741,0.94796277547329,0.914437372445505
0.325117056856187,1.26546660141942,0.950920705890573,0.959380644311869,0.926748506413349
0.328448160535117,1.32507125714256,0.963868372782975,0.970748960268986,0.939050328832129
0.331779264214047,1.38532649247493,0.976784966915436,0.982067042151271,0.951340801348937
0.335110367892977,1.44609969457495,0.989668007189592,0.993334221523299,0.963617876746812
0.338441471571906,1.50725255028655,1.00251502157674,1.00454984147421,0.975879498845465
0.341772575250836,1.56864157035001,1.01532354697572,1.01571325542652,0.988123602408068
0.345103678929766,1.6301186518466,1.02809112907505,1.02682382598475,1.00034811305388
0.348434782608696,1.69153167568972,1.04081532221904,1.03788092382144,1.01255094717653
0.351765886287625,1.75272513570356,1.05349368927793,1.04888392659847,1.02473001186773
0.355096989966555,1.81354079558456,1.06612380152172,1.05983221792154,1.03688320484627
